learn:jqzx.csv check Article184:我分析了2万条饿了么、美团红包记录，这些是红包最多的APP（附数据集） 	 Result: 	0.2124858767542205 	491 	162
  	class: 成年人  	d: 5  	pt: 0  	diff: 
  	class: 遭受  	d: 20  	pt: 0  	diff: 
  	class: 老小  	d: 4  	pt: 0  	diff: 
  	class: 分寸  	d: 3  	pt: 0  	diff: 
  	class: 青年人  	d: 8  	pt: 0  	diff: 
  	class: 青年  	d: 5  	pt: 0  	diff: 
  	class: 年轻  	d: 14  	pt: 0  	diff: 
  	class: 门生  	d: 4  	pt: 0  	diff: 
  	class: 晚辈  	d: 3  	pt: 0  	diff: 
  	class: 知识青年  	d: 2  	pt: 0  	diff: 
  	class: 少年人  	d: 4  	pt: 0  	diff: 
  	class: 少年  	d: 2  	pt: 0  	diff: 
  	class: 萌芽  	d: 7  	pt: 0  	diff: 
  	class: 芝兰  	d: 1  	pt: 0  	diff: 
  	class: 新秀  	d: 4  	pt: 0  	diff: 
  	class: 骏马  	d: 9  	pt: 0  	diff: 
  	class: 童年  	d: 13  	pt: 0  	diff: 
  	class: 宝宝  	d: 6  	pt: 0  	diff: 
  	class: 宝贝  	d: 6  	pt: 0  	diff: 
  	class: 活宝  	d: 2  	pt: 0  	diff: 
  	class: 儿童  	d: 31  	pt: 0  	diff: 
  	class: 幼小  	d: 12  	pt: 0  	diff: 
  	class: 光秃秃  	d: 3  	pt: 0  	diff: 
  	class: 稍微  	d: 24  	pt: 0.0  	diff: 
  	class: 小  	d: 12  	pt: 0  	diff: 
  	class: 妞  	d: 7  	pt: 0  	diff: 
  	class: 婢女  	d: 7  	pt: 0  	diff: 
  	class: 顽童  	d: 6  	pt: 0  	diff: 
  	class: 男童  	d: 3  	pt: 0  	diff: 
  	class: 高个儿  	d: 7  	pt: 0  	diff: 
  	class: 修长  	d: 6  	pt: 0  	diff: 
  	class: 细高挑儿  	d: 1  	pt: 0  	diff: 
  	class: 矮子  	d: 6  	pt: 0  	diff: 
  	class: 胖子  	d: 4  	pt: 0  	diff: 
  	class: 瘦子  	d: 1  	pt: 0  	diff: 
  	class: 瘦  	d: 14  	pt: 0  	diff: 
  	class: 美女  	d: 20  	pt: 0  	diff: 
  	class: 花费  	d: 5  	pt: 0  	diff: 
  	class: 神  	d: 9  	pt: 0  	diff: 
  	class: 仙女  	d: 3  	pt: 0  	diff: 
  	class: 月亮  	d: 8  	pt: 0  	diff: 
  	class: 美貌  	d: 46  	pt: 0  	diff: 
  	class: 丑八怪  	d: 1  	pt: 0  	diff: 
  	class: 凶人  	d: 2  	pt: 0  	diff: 
  	class: 麻子  	d: 2  	pt: 0  	diff: 
  	class: 秃子  	d: 3  	pt: 0  	diff: 
  	class: 兔唇  	d: 4  	pt: 0  	diff: 
  	class: 缺口  	d: 5  	pt: 0  	diff: 
  	class: 口吃  	d: 5  	pt: 0  	diff: 
  	class: 结  	d: 4  	pt: 0  	diff: 
  	class: 结巴  	d: 2  	pt: 0  	diff: 
  	class: 居民  	d: 4  	pt: 0  	diff: 
  	class: 市民  	d: 4  	pt: 0  	diff: 
  	class: 乡民  	d: 3  	pt: 0  	diff: 
  	class: 船民  	d: 2  	pt: 0  	diff: 
  	class: 侨民  	d: 5  	pt: 0  	diff: 
  	class: 中国人  	d: 4  	pt: 0  	diff: 
  	class: 本国人  	d: 2  	pt: 0  	diff: 
  	class: 胞  	d: 7  	pt: 0  	diff: 
  	class: 外国人  	d: 3  	pt: 0  	diff: 
  	class: 外族  	d: 3  	pt: 0  	diff: 
  	class: 洋鬼子  	d: 3  	pt: 0  	diff: 
  	class: 外族人  	d: 1  	pt: 0  	diff: 
  	class: 本地人  	d: 5  	pt: 0  	diff: 
  	class: 村里人  	d: 2  	pt: 0  	diff: 
  	class: 外乡人  	d: 6  	pt: 0  	diff: 
  	class: 同乡  	d: 6  	pt: 0  	diff: 
  	class: 农民  	d: 11  	pt: 0  	diff: 
  	class: 家乡  	d: 18  	pt: 0  	diff: 
  	class: 职工  	d: 2  	pt: 0  	diff: 
  	class: 职员  	d: 6  	pt: 0  	diff: 
  	class: 公务员  	d: 3  	pt: 0  	diff: 
  	class: 秘书  	d: 3  	pt: 0  	diff: 
  	class: 总务  	d: 3  	pt: 0  	diff: 
  	class: 管理  	d: 4  	pt: 0  	diff: 
  	class: 会计  	d: 6  	pt: 0  	diff: 
  	class: 会计室  	d: 3  	pt: 0  	diff: 
  	class: 掮客  	d: 1  	pt: 0  	diff: 
  	class: 商人  	d: 9  	pt: 0  	diff: 
  	class: 从业员  	d: 4  	pt: 0  	diff: 
  	class: 伙计  	d: 4  	pt: 0  	diff: 
  	class: 列车员  	d: 3  	pt: 0  	diff: 
  	class: 广播员  	d: 2  	pt: 0  	diff: 
  	class: 理发员  	d: 5  	pt: 0  	diff: 
  	class: 空姐  	d: 2  	pt: 0  	diff: 
  	class: 消防人  	d: 2  	pt: 0  	diff: 
  	class: 承运人  	d: 2  	pt: 0  	diff: 
  	class: 供给者  	d: 2  	pt: 0  	diff: 
  	class: 编选者  	d: 3  	pt: 0  	diff: 
  	class: 勘察者  	d: 3  	pt: 0  	diff: 
  	class: 工人  	d: 2  	pt: 0  	diff: 
  	class: 善于  	d: 10  	pt: 0  	diff: 
  	class: 勤杂工  	d: 4  	pt: 0  	diff: 
  	class: 演员  	d: 9  	pt: 0  	diff: 
  	class: 老师傅  	d: 1  	pt: 0  	diff: 
  	class: 师傅  	d: 1  	pt: 0  	diff: 
  	class: 壮工  	d: 2  	pt: 0  	diff: 
  	class: 短工  	d: 3  	pt: 0  	diff: 
  	class: 劳役  	d: 8  	pt: 0  	diff: 
  	class: 搬运工  	d: 6  	pt: 0  	diff: 
  	class: 苦工  	d: 2  	pt: 0  	diff: 
  	class: 雇用  	d: 7  	pt: 0  	diff: 
  	class: 学徒工  	d: 2  	pt: 0  	diff: 
  	class: 木工  	d: 2  	pt: 0  	diff: 
  	class: 瓦工  	d: 5  	pt: 0  	diff: 
  	class: 石工  	d: 2  	pt: 0  	diff: 
  	class: 油漆工  	d: 5  	pt: 0  	diff: 
  	class: 花匠  	d: 3  	pt: 0  	diff: 
  	class: 教师  	d: 16  	pt: 0  	diff: 
  	class: 画匠  	d: 2  	pt: 0  	diff: 
  	class: 画家  	d: 2  	pt: 0  	diff: 
  	class: 成衣匠  	d: 2  	pt: 0  	diff: 
  	class: 鞋匠  	d: 2  	pt: 0  	diff: 
  	class: 铁工  	d: 2  	pt: 0  	diff: 
  	class: 海员  	d: 5  	pt: 0  	diff: 
  	class: 领航员  	d: 4  	pt: 0  	diff: 
  	class: 引航  	d: 4  	pt: 0  	diff: 
  	class: 船夫  	d: 7  	pt: 0  	diff: 
  	class: 非常  	d: 47  	pt: 0  	diff: 
  	class: 长寿  	d: 12  	pt: 0  	diff: 
  	class: 水利工程  	d: 4  	pt: 0  	diff: 
  	class: 舵手  	d: 4  	pt: 0  	diff: 
  	class: 驾驶员  	d: 7  	pt: 0  	diff: 
  	class: 飞行员  	d: 4  	pt: 0  	diff: 
  	class: 宇航员  	d: 2  	pt: 0  	diff: 
  	class: 驭手  	d: 6  	pt: 0  	diff: 
  	class: 操作员  	d: 2  	pt: 0  	diff: 
  	class: 脚钱  	d: 2  	pt: 0  	diff: 
  	class: 炊事员  	d: 7  	pt: 0  	diff: 
  	class: 禅师  	d: 6  	pt: 0  	diff: 
  	class: 火夫  	d: 4  	pt: 0  	diff: 
  	class: 烧火  	d: 7  	pt: 0  	diff: 
  	class: 邮递员  	d: 5  	pt: 0  	diff: 
  	class: 鹦鹉  	d: 3  	pt: 0  	diff: 
  	class: 通信员  	d: 2  	pt: 0  	diff: 
  	class: 交通员  	d: 2  	pt: 0  	diff: 
  	class: 畅通  	d: 15  	pt: 0  	diff: 
  	class: 联络员  	d: 3  	pt: 0  	diff: 
  	class: 门房  	d: 9  	pt: 0  	diff: 
  	class: 转告  	d: 6  	pt: 0  	diff: 
  	class: 服务员  	d: 5  	pt: 0  	diff: 
  	class: 侍从  	d: 3  	pt: 0  	diff: 
  	class: 堂倌  	d: 3  	pt: 0  	diff: 
  	class: 酒店  	d: 9  	pt: 0  	diff: 
  	class: 清洁工  	d: 3  	pt: 0  	diff: 
  	class: 农户  	d: 4  	pt: 0  	diff: 
  	class: 小农  	d: 2  	pt: 0  	diff: 
  	class: 佃农  	d: 2  	pt: 0  	diff: 
  	class: 上中农  	d: 2  	pt: 0  	diff: 
  	class: 牧民  	d: 6  	pt: 0  	diff: 
  	class: 渔民  	d: 6  	pt: 0  	diff: 
  	class: 猎手  	d: 4  	pt: 0  	diff: 
  	class: 樵夫  	d: 4  	pt: 0  	diff: 
  	class: 饲养员  	d: 3  	pt: 0  	diff: 
  	class: 羊倌  	d: 3  	pt: 0  	diff: 
  	class: 放牛郎  	d: 5  	pt: 0  	diff: 
  	class: 马夫  	d: 2  	pt: 0  	diff: 
  	class: 刽子手  	d: 2  	pt: 0  	diff: 
  	class: 屠夫  	d: 1  	pt: 0  	diff: 
  	class: 经商  	d: 3  	pt: 0  	diff: 
  	class: 协商  	d: 25  	pt: 0  	diff: 
  	class: 市侩  	d: 3  	pt: 0  	diff: 
  	class: 商旅  	d: 5  	pt: 0  	diff: 
  	class: 小贩  	d: 6  	pt: 0  	diff: 
  	class: 客帮  	d: 2  	pt: 0  	diff: 
  	class: 嫖客  	d: 3  	pt: 0  	diff: 
  	class: 卖家  	d: 4  	pt: 0  	diff: 
  	class: 军官  	d: 3  	pt: 0  	diff: 
  	class: 官吏  	d: 14  	pt: 0  	diff: 
  	class: 指挥员  	d: 2  	pt: 0  	diff: 
  	class: 总司令  	d: 13  	pt: 0  	diff: 
  	class: 好  	d: 49  	pt: 0  	diff: 
  	class: 下级  	d: 10  	pt: 0  	diff: 
  	class: 将领  	d: 8  	pt: 0  	diff: 
  	class: 将  	d: 1  	pt: 0  	diff: 
  	class: 以  	d: 2  	pt: 0  	diff: 
  	class: 副将  	d: 3  	pt: 0  	diff: 
  	class: 虎将  	d: 7  	pt: 0  	diff: 
  	class: 勇士  	d: 8  	pt: 0  	diff: 
  	class: 士兵  	d: 19  	pt: 0  	diff: 
  	class: 领导  	d: 14  	pt: 0  	diff: 
  	class: 警察  	d: 9  	pt: 0  	diff: 
  	class: 将士  	d: 4  	pt: 0  	diff: 
  	class: 军人  	d: 3  	pt: 0  	diff: 
  	class: 荣誉军人  	d: 2  	pt: 0  	diff: 
  	class: 边防军  	d: 2  	pt: 0  	diff: 
  	class: 终于  	d: 11  	pt: 0  	diff: 
  	class: 识途老马  	d: 4  	pt: 0  	diff: 
  	class: 士  	d: 1  	pt: 0  	diff: 
  	class: 步兵  	d: 2  	pt: 0  	diff: 
  	class: 骑兵  	d: 4  	pt: 0  	diff: 
  	class: 水兵  	d: 1  	pt: 0  	diff: 
  	class: 海军  	d: 3  	pt: 0  	diff: 
  	class: 侦察兵  	d: 3  	pt: 0  	diff: 
  	class: 情报员  	d: 14  	pt: 0  	diff: 
  	class: 便装  	d: 3  	pt: 0  	diff: 
  	class: 哨兵  	d: 3  	pt: 0  	diff: 
  	class: 哨所  	d: 3  	pt: 0  	diff: 
  	class: 航空兵  	d: 2  	pt: 0  	diff: 
  	class: 伞兵  	d: 2  	pt: 0  	diff: 
  	class: 工兵  	d: 2  	pt: 0  	diff: 
  	class: 号兵  	d: 2  	pt: 0  	diff: 
  	class: 警卫员  	d: 5  	pt: 0  	diff: 
  	class: 警卫  	d: 2  	pt: 0  	diff: 
  	class: 退伍兵  	d: 2  	pt: 0  	diff: 
  	class: 复员军人  	d: 2  	pt: 0  	diff: 
  	class: 老兵  	d: 3  	pt: 0  	diff: 
  	class: 解放军  	d: 4  	pt: 0  	diff: 
  	class: 兵圣  	d: 2  	pt: 0  	diff: 
  	class: 官军  	d: 2  	pt: 0  	diff: 
  	class: 见识  	d: 10  	pt: 0  	diff: 
  	class: 敌特  	d: 3  	pt: 0  	diff: 
  	class: 译电员  	d: 2  	pt: 0  	diff: 
  	class: 急事  	d: 3  	pt: 0  	diff: 
  	class: 人民警察  	d: 3  	pt: 0  	diff: 
  	class: 捕头  	d: 3  	pt: 0  	diff: 
  	class: 侦查  	d: 11  	pt: 0  	diff: 
  	class: 侦探  	d: 4  	pt: 0  	diff: 
  	class: 防守  	d: 12  	pt: 0  	diff: 
  	class: 看守  	d: 3  	pt: 0  	diff: 
  	class: 行刑队  	d: 2  	pt: 0  	diff: 
  	class: 审判员  	d: 11  	pt: 0  	diff: 
  	class: 检察官  	d: 3  	pt: 0  	diff: 
  	class: 律师  	d: 5  	pt: 0  	diff: 
  	class: 征稽  	d: 4  	pt: 0  	diff: 
  	class: 师  	d: 2  	pt: 0  	diff: 
  	class: 教官  	d: 4  	pt: 0  	diff: 
  	class: 训练  	d: 3  	pt: 0  	diff: 
  	class: 教养员  	d: 2  	pt: 0  	diff: 
  	class: 姨母  	d: 6  	pt: 0  	diff: 
  	class: 塾师  	d: 2  	pt: 0  	diff: 
  	class: 书呆子  	d: 4  	pt: 0  	diff: 
  	class: 学生  	d: 4  	pt: 0  	diff: 
  	class: 学习者  	d: 2  	pt: 0  	diff: 
  	class: 门客  	d: 6  	pt: 0  	diff: 
  	class: 从师  	d: 5  	pt: 0  	diff: 
  	class: 徒弟  	d: 5  	pt: 0  	diff: 
  	class: 高足  	d: 3  	pt: 0  	diff: 
  	class: 高才生  	d: 3  	pt: 0  	diff: 
  	class: 寄宿生  	d: 3  	pt: 0  	diff: 
  	class: 定向招生  	d: 3  	pt: 0  	diff: 
  	class: 运动员  	d: 3  	pt: 0  	diff: 
  	class: 裁判员  	d: 2  	pt: 0  	diff: 
  	class: 判决  	d: 7  	pt: 0  	diff: 
  	class: 医生  	d: 6  	pt: 0  	diff: 
  	class: 医治  	d: 10  	pt: 0  	diff: 
  	class: 中医  	d: 2  	pt: 0  	diff: 
  	class: 国医  	d: 1  	pt: 0  	diff: 
  	class: 良医  	d: 3  	pt: 0  	diff: 
  	class: 太医  	d: 2  	pt: 0  	diff: 
  	class: 助产士  	d: 4  	pt: 0  	diff: 
  	class: 家母  	d: 3  	pt: 0  	diff: 
  	class: 护士  	d: 3  	pt: 0  	diff: 
  	class: 护理  	d: 5  	pt: 0  	diff: 
  	class: 执笔人  	d: 2  	pt: 0  	diff: 
  	class: 译者  	d: 2  	pt: 0  	diff: 
  	class: 翻译  	d: 5  	pt: 0  	diff: 
  	class: 记者  	d: 2  	pt: 0  	diff: 
  	class: 新闻工作者  	d: 2  	pt: 0  	diff: 
  	class: 媒体  	d: 2  	pt: 0  	diff: 
  	class: 编辑  	d: 18  	pt: 0  	diff: 
  	class: 总编辑  	d: 2  	pt: 0  	diff: 
  	class: 创意者  	d: 2  	pt: 0  	diff: 
  	class: 明星  	d: 5  	pt: 0  	diff: 
  	class: 星辰  	d: 8  	pt: 0  	diff: 
  	class: 女演员  	d: 3  	pt: 0  	diff: 
  	class: 歌手  	d: 8  	pt: 0  	diff: 
  	class: 冷箭  	d: 6  	pt: 0  	diff: 
  	class: 骨干  	d: 11  	pt: 0  	diff: 
  	class: 主角  	d: 2  	pt: 0  	diff: 
  	class: 配角  	d: 4  	pt: 0  	diff: 
  	class: 名角  	d: 4  	pt: 0  	diff: 
  	class: 生角  	d: 1  	pt: 0  	diff: 
  	class: 老生  	d: 2  	pt: 0  	diff: 
  	class: 末尾  	d: 11  	pt: 0  	diff: 
  	class: 旦角儿  	d: 6  	pt: 0  	diff: 
  	class: 年初一  	d: 5  	pt: 0  	diff: 
  	class: 彩旦  	d: 2  	pt: 0  	diff: 
  	class: 丑角  	d: 4  	pt: 0  	diff: 
  	class: 可憎  	d: 12  	pt: 0  	diff: 
  	class: 花脸  	d: 3  	pt: 0  	diff: 
  	class: 都  	d: 16  	pt: 0  	diff: 
  	class: 大花脸  	d: 4  	pt: 0  	diff: 
  	class: 二花脸  	d: 2  	pt: 0  	diff: 
  	class: 演职员  	d: 2  	pt: 0  	diff: 
  	class: 表演家  	d: 2  	pt: 0  	diff: 
  	class: 舞者  	d: 2  	pt: 0  	diff: 
  	class: 知名演员  	d: 2  	pt: 0  	diff: 
  	class: 琴师  	d: 3  	pt: 0  	diff: 
  	class: 鼓师  	d: 2  	pt: 0  	diff: 
  	class: 号手  	d: 3  	pt: 0  	diff: 
  	class: 演奏者  	d: 2  	pt: 0  	diff: 
  	class: 剧团人员  	d: 2  	pt: 0  	diff: 
  	class: 编剧  	d: 2  	pt: 0  	diff: 
  	class: 文艺工作者  	d: 2  	pt: 0  	diff: 
  	class: 模特  	d: 2  	pt: 0  	diff: 
  	class: 阴阳家  	d: 2  	pt: 0  	diff: 
  	class: 魔法师  	d: 2  	pt: 0  	diff: 
  	class: 巫师  	d: 6  	pt: 0  	diff: 
  	class: 女巫  	d: 3  	pt: 0  	diff: 
  	class: 女神  	d: 3  	pt: 0  	diff: 
  	class: 劳动者  	d: 3  	pt: 0  	diff: 
  	class: 无产者  	d: 1  	pt: 0  	diff: 
  	class: 无产阶级  	d: 2  	pt: 0  	diff: 
  	class: 实施者  	d: 2  	pt: 0  	diff: 
  	class: 奴隶  	d: 3  	pt: 0  	diff: 
  	class: 善良  	d: 4  	pt: 0  	diff: 
  	class: 小市民  	d: 2  	pt: 0  	diff: 
  	class: 上访者  	d: 2  	pt: 0  	diff: 
  	class: 接访  	d: 2  	pt: 0  	diff: 
  	class: 投保人  	d: 2  	pt: 0  	diff: 
  	class: 候选人  	d: 3  	pt: 0  	diff: 
  	class: 选民  	d: 4  	pt: 0  	diff: 
  	class: 跟随者  	d: 5  	pt: 0  	diff: 
  	class: 反驳者  	d: 2  	pt: 0  	diff: 
  	class: 抗议者  	d: 3  	pt: 0  	diff: 
  	class: 差役  	d: 7  	pt: 0  	diff: 
  	class: 男仆  	d: 2  	pt: 0  	diff: 
  	class: 女仆  	d: 8  	pt: 0  	diff: 
  	class: 乳房  	d: 3  	pt: 0  	diff: 
  	class: 奴才  	d: 2  	pt: 0  	diff: 
  	class: 仆从  	d: 3  	pt: 0  	diff: 
  	class: 随即  	d: 11  	pt: 0  	diff: 
  	class: 跟随  	d: 7  	pt: 0  	diff: 
  	class: 随从  	d: 2  	pt: 0  	diff: 
  	class: 反正  	d: 5  	pt: 0  	diff: 
  	class: 封建主  	d: 2  	pt: 0  	diff: 
  	class: 主人  	d: 10  	pt: 0  	diff: 
  	class: 地主  	d: 5  	pt: 0  	diff: 
  	class: 外祖父  	d: 4  	pt: 0  	diff: 
  	class: 东家  	d: 1  	pt: 0  	diff: 
  	class: 农奴主  	d: 3  	pt: 0  	diff: 
  	class: 士绅  	d: 5  	pt: 0  	diff: 
  	class: 豪绅  	d: 5  	pt: 0  	diff: 
  	class: 资本家  	d: 9  	pt: 0  	diff: 
  	class: 老板  	d: 5  	pt: 0  	diff: 
  	class: 富翁  	d: 19  	pt: 0  	diff: 
  	class: 店主  	d: 4  	pt: 0  	diff: 
  	class: 经营者  	d: 2  	pt: 0  	diff: 
  	class: 出资人  	d: 2  	pt: 0  	diff: 
  	class: 帝国主义  	d: 2  	pt: 0  	diff: 
  	class: 达到  	d: 10  	pt: 0  	diff: 
  	class: 现在  	d: 11  	pt: 0  	diff: 
  	class: 天  	d: 16  	pt: 0  	diff: 
  	class: 女皇  	d: 2  	pt: 0  	diff: 
  	class: 暴君  	d: 2  	pt: 0  	diff: 
  	class: 皇后  	d: 2  	pt: 0  	diff: 
  	class: 圣母  	d: 2  	pt: 0  	diff: 
  	class: 妃子  	d: 4  	pt: 0  	diff: 
  	class: 权贵  	d: 2  	pt: 0  	diff: 
  	class: 贵人  	d: 2  	pt: 0  	diff: 
  	class: 皇族  	d: 3  	pt: 0  	diff: 
  	class: 朝廷  	d: 7  	pt: 0  	diff: 
  	class: 皇  	d: 3  	pt: 0  	diff: 
  	class: 皇室  	d: 2  	pt: 0  	diff: 
  	class: 太后  	d: 3  	pt: 0  	diff: 
  	class: 太子  	d: 8  	pt: 0  	diff: 
  	class: 王子  	d: 2  	pt: 0  	diff: 
  	class: 公主  	d: 2  	pt: 0  	diff: 
  	class: 王孙  	d: 3  	pt: 0  	diff: 
  	class: 王公  	d: 6  	pt: 0  	diff: 
  	class: 公爵  	d: 1  	pt: 0  	diff: 
  	class: 贵族  	d: 2  	pt: 0  	diff: 
  	class: 侯爵  	d: 3  	pt: 0  	diff: 
  	class: 尊贵  	d: 10  	pt: 0  	diff: 
  	class: 重要  	d: 29  	pt: 0  	diff: 
  	class: 太监  	d: 3  	pt: 0  	diff: 
  	class: 宫女  	d: 2  	pt: 0  	diff: 
  	class: 女官  	d: 3  	pt: 0  	diff: 
  	class: 公  	d: 9  	pt: 0  	diff: 
  	class: 官府  	d: 9  	pt: 0  	diff: 
  	class: 大臣  	d: 9  	pt: 0  	diff: 
  	class: 统治  	d: 12  	pt: 0  	diff: 
  	class: 锅  	d: 7  	pt: 0  	diff: 
  	class: 芝麻官  	d: 3  	pt: 0  	diff: 
  	class: 忠臣  	d: 2  	pt: 0  	diff: 
  	class: 奸臣  	d: 2  	pt: 0  	diff: 
  	class: 清官  	d: 3  	pt: 0  	diff: 
  	class: 晴空  	d: 4  	pt: 0  	diff: 
  	class: 赃官  	d: 4  	pt: 0  	diff: 
  	class: 宰相  	d: 5  	pt: 0  	diff: 
  	class: 男妓  	d: 2  	pt: 0  	diff: 
  	class: 幕宾  	d: 3  	pt: 0  	diff: 
  	class: 参谋  	d: 9  	pt: 0  	diff: 
  	class: 使者  	d: 5  	pt: 0  	diff: 
  	class: 重任  	d: 4  	pt: 0  	diff: 
  	class: 领袖  	d: 7  	pt: 0  	diff: 
  	class: 核心  	d: 12  	pt: 0  	diff: 
  	class: 头领  	d: 15  	pt: 0  	diff: 
  	class: 脑子  	d: 12  	pt: 0  	diff: 
  	class: 人杰  	d: 6  	pt: 0  	diff: 
  	class: 第一  	d: 18  	pt: 0  	diff: 
  	class: 控制者  	d: 3  	pt: 0  	diff: 
  	class: 主持  	d: 7  	pt: 0  	diff: 
  	class: 统率  	d: 7  	pt: 0  	diff: 
  	class: 领队  	d: 7  	pt: 0  	diff: 
  	class: 监工  	d: 9  	pt: 0  	diff: 
  	class: 创建者  	d: 8  	pt: 0  	diff: 
  	class: 创业者  	d: 2  	pt: 0  	diff: 
  	class: 策划人  	d: 3  	pt: 0  	diff: 
  	class: 首倡者  	d: 3  	pt: 0  	diff: 
  	class: 倡导者  	d: 4  	pt: 0  	diff: 
  	class: 主办人  	d: 2  	pt: 0  	diff: 
  	class: 经办人  	d: 2  	pt: 0  	diff: 
  	class: 名人  	d: 15  	pt: 0  	diff: 
  	class: 学者  	d: 4  	pt: 0  	diff: 
  	class: 要人  	d: 5  	pt: 0  	diff: 
  	class: 隐士  	d: 4  	pt: 0  	diff: 
  	class: 烟鬼  	d: 4  	pt: 0  	diff: 
  	class: 健康人  	d: 4  	pt: 0  	diff: 
  	class: 老好人  	d: 5  	pt: 0  	diff: 
  	class: 病人  	d: 10  	pt: 0  	diff: 
  	class: 植物人  	d: 2  	pt: 0  	diff: 
  	class: 疯子  	d: 3  	pt: 0  	diff: 
  	class: 傻子  	d: 8  	pt: 0  	diff: 
  	class: 精神病  	d: 2  	pt: 0  	diff: 
  	class: 伤员  	d: 10  	pt: 0  	diff: 
  	class: 残废  	d: 7  	pt: 0  	diff: 
  	class: 残缺  	d: 8  	pt: 0  	diff: 
  	class: 跛子  	d: 4  	pt: 0  	diff: 
  	class: 骗子  	d: 5  	pt: 0  	diff: 
  	class: 驼子  	d: 2  	pt: 0  	diff: 
  	class: 驼  	d: 5  	pt: 0  	diff: 
  	class: 瞎子  	d: 4  	pt: 0  	diff: 
  	class: 哑巴  	d: 3  	pt: 0  	diff: 
  	class: 孕妇  	d: 5  	pt: 0  	diff: 
  	class: 怀孕  	d: 8  	pt: 0  	diff: 
  	class: 鳏寡孤独  	d: 3  	pt: 0  	diff: 
  	class: 鳏夫  	d: 2  	pt: 0  	diff: 
  	class: 寡妇  	d: 4  	pt: 0  	diff: 
  	class: 孤  	d: 3  	pt: 0  	diff: 
  	class: 孤魂  	d: 2  	pt: 0  	diff: 
  	class: 独裁者  	d: 4  	pt: 0  	diff: 
  	class: 光杆儿  	d: 4  	pt: 0  	diff: 
  	class: 单身汉  	d: 4  	pt: 0  	diff: 
  	class: 富户  	d: 5  	pt: 0  	diff: 
  	class: 财神  	d: 4  	pt: 0  	diff: 
  	class: 阔少  	d: 3  	pt: 0  	diff: 
  	class: 债主  	d: 2  	pt: 0  	diff: 
  	class: 吸血鬼  	d: 2  	pt: 0  	diff: 
  	class: 穷人  	d: 7  	pt: 0  	diff: 
  	class: 寒士  	d: 2  	pt: 0  	diff: 
  	class: 乞丐  	d: 7  	pt: 0  	diff: 
  	class: 乞讨  	d: 8  	pt: 0  	diff: 
  	class: 债户  	d: 6  	pt: 0  	diff: 
  	class: 帮扶户  	d: 2  	pt: 0  	diff: 
  	class: 闲杂人员  	d: 2  	pt: 0  	diff: 
  	class: 幸运儿  	d: 8  	pt: 0  	diff: 
  	class: 红人  	d: 3  	pt: 0  	diff: 
  	class: 心肝  	d: 5  	pt: 0  	diff: 
  	class: 可怜虫  	d: 2  	pt: 0  	diff: 
  	class: 叩头虫  	d: 2  	pt: 0  	diff: 
  	class: 无辜  	d: 3  	pt: 0  	diff: 
  	class: 出气筒  	d: 2  	pt: 0  	diff: 
  	class: 容易  	d: 16  	pt: 0  	diff: 
  	class: 瓮中之鳖  	d: 2  	pt: 0  	diff: 
  	class: 众矢之的  	d: 4  	pt: 0  	diff: 
  	class: 屈死鬼  	d: 3  	pt: 0  	diff: 
  	class: 被害人  	d: 6  	pt: 0  	diff: 
  	class: 当事人  	d: 2  	pt: 0  	diff: 
  	class: 冤大头  	d: 1  	pt: 0  	diff: 
  	class: 银元  	d: 14  	pt: 0  	diff: 
  	class: 替身  	d: 3  	pt: 0  	diff: 
  	class: 下脚货  	d: 10  	pt: 0  	diff: 
  	class: 敲门砖  	d: 2  	pt: 0  	diff: 
  	class: 祸根  	d: 3  	pt: 0  	diff: 
  	class: 火主  	d: 1  	pt: 0  	diff: 
  	class: 怒火  	d: 9  	pt: 0  	diff: 
  	class: 死难者  	d: 3  	pt: 0  	diff: 
  	class: 难民  	d: 3  	pt: 0  	diff: 
  	class: 灾民  	d: 1  	pt: 0  	diff: 
  	class: 流浪汉  	d: 6  	pt: 0  	diff: 
  	class: 逃亡者  	d: 1  	pt: 0  	diff: 
  	class: 逃犯  	d: 3  	pt: 0  	diff: 
  	class: 逃跑  	d: 23  	pt: 0  	diff: 
  	class: 二流子  	d: 4  	pt: 0  	diff: 
  	class: 窃贼  	d: 6  	pt: 0  	diff: 
  	class: 败兵  	d: 7  	pt: 0  	diff: 
  	class: 俘虏  	d: 13  	pt: 0  	diff: 
  	class: 见证人  	d: 6  	pt: 0  	diff: 
  	class: 舌头  	d: 3  	pt: 0  	diff: 
  	class: 囚禁  	d: 9  	pt: 0  	diff: 
  	class: 人质  	d: 3  	pt: 0  	diff: 
  	class: 抵押  	d: 3  	pt: 0  	diff: 
  	class: 违反者  	d: 3  	pt: 0  	diff: 
  	class: 不合格者  	d: 2  	pt: 0  	diff: 
  	class: 输家  	d: 3  	pt: 0  	diff: 
  	class: 旅客  	d: 4  	pt: 0  	diff: 
  	class: 僧徒  	d: 8  	pt: 0  	diff: 
  	class: 旅行  	d: 3  	pt: 0  	diff: 
  	class: 过路人  	d: 2  	pt: 0  	diff: 
  	class: 游人  	d: 11  	pt: 0  	diff: 
  	class: 乘客  	d: 2  	pt: 0.0  	diff: 
  	class: 参观者  	d: 2  	pt: 0  	diff: 
  	class: 亲戚  	d: 5  	pt: 0  	diff: 
  	class: 眷属  	d: 12  	pt: 0  	diff: 
